California Stars,line1,I,I,V,V,IV,IV,I,I,intro,A,line1,verse,A,line1,solo,A,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All of me,line1,Vim,IV,I,V,line2,IIm,IIm,IV,V,line3,I ,I,VIm,VIm,IIm,IIm,V,V,line4,VIm,IV,I,V,intro,C,line1,verse,C,line1,line1,line1,line1,pre-chorus ,C,line3,line3,line4,line4,outro,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby I Love You,line1,I,I,line2,I,I,IV7,IV7,I,I,V,I,line3,I,I,IV7,IV7,I,I,I,IV7,IV7,V,V,line4,IV,IV,I,I,IV7,IV7,V7,V7,line5,I,intro,F,line1,verse,F,line2,line3,bridge,F,line4,outro,F,line5,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,line1,I,I,IV,IV,V,V,I,I,line2,IV,IV,I,I,V,V,I,I,intro,E,line1,verse,E,line1,line1,line1,line1,chorus ,E,line2,line2,verse,line1,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wicked Games,line1,IIm,I,V,V,intro,A,line1,line1,line1,line1,verse,A,line1,line1,line1,line1,chorus,A,line1,line1,line1,line1,chorus,A,line1,line1,solo,A,line1,line1,line1,line1,outro,A,line1,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I can't help falling in love,line1,IV,V,VIm,IV,I,V7,I,I,line2,I,IIIm,VIm,VIm,IV,I,V,V,line3,IIIm,VII7,VII7,VII7,IIIm,VI7,IIm,V7,line4,I,IIIm,VIm,VIm,IV,I,V,I,intro,C,line1,verse,C,line2,line1,line2,line1,bridge,C,line3,verse,C,line2,line1,outro,C,line1,line4,,,,,,,,,,,,,,,,,
Bold as Love,line1,I,V,VIm,IV,line2,IV,I,IIm,VII,line3,I,IIm,IV,VII,intro,Bb,line1,line1,verse,Bb,line1,line1,line2,line2,chorus ,Bb,line1,line1,line1,line3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Home Alabama,line1,V,IV,I,line2,V,IV,I,I,I,intro,G,line1,line1,verse,G,line1,line1,line1,line1,chorus,G,line2,line1,solo,G,line1,line1,verse,G,line1,line2,chorus,G,line1,line1,line1,line1,solo,G,line1,outro,G,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keep on Rockin' the Free World,line1,VIm,V,IV,line2,I,V,IV,VIm,line3,II7,II7,II7,II7,intro,G,line1,line1,line1,line1,verse,G,line1,line1,line1,line1,line1,line1,line1,line1,chorus ,G,line2,line2,line2,line2,instrumental,G,line3,line3,line3,line3,outro,G,line3,line3,line3,line3,,,,,,,,,,,,,,,,,,,,,,,,,
Such Great Heights,line1,I,I,IIm,IIm,IIIm,IIIm,I,I,IIm,IIm,IIIm,IIIm,IIIm,IIIm,line2,I,I,IIm,IIm,IIIm,IIIm,IV,V,line3,I,I,IIm,IIm,IIIm,IIIm,IV,VIm,line4,I,I,V,V,IV,IV,VIm,VIm,line5,I,I,VIm,VIm,IIIm,IIIm,intro,F,line1,verse,F,line2,line3,line2,line3,chorus ,F,line4,line4,verse,F,line2,line3,solo,F,line5,outro,F,line5,
Heroes,line1,V,V,I,I,line2,V,V,I,I,IV,IV,V,V,IIm,VIm,V,V,IV,I,V,V,line3,IV,IV,V,V,IIm,VIm,V,V,IV,I,V,V,intro,G,line1,line1,verse,G,line2,verse,G,line1,line1,line1,line1,line3,instrumental,G,line1,line1,outro,G,line1,line1,,,,,,,,,,,,,,,,
Mr Jones ,line1,VIm,IV,IIm,V,VIm,IV,V,V,line2,I,IV,V,V,line3,Vlm,Vlm,IV,IV,Vlm,Vlm,V,V,line4,V,intro,C,line1,verse,C,line1,line1,chorus,C,line2,line2,line2,line2,bridge,C,line3,line3,line3,outro,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electioneering,line1,Im,Im,Im,Im,line2,VII,VII,Vm,Vm,line3,Im,Im,Im,V,Im,line4,IV,V,II,V,line5,Im,intro,Cm,line1,verse,Cm,line1,line2,chorus,Cm,line1,line3,intro,Cm,line1,line1,bridge,Cm,line4,outro,Cm,line5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineola,line1,IV,I,V,V,V,V,line2,IV,I,V,V,IV,I,V,V,line3,V,V,line4,IV,I,V,V,IV,I,V,V,V,V,line5,IV,I,V,IV,I,V,IV,I,V,IV,I,V,V,V,intro,C,line1,verse,C,line2,line2,line2,line2,interlude,C,line3,bridge,C,line4,solo,C,line5,,,,,,,,,,
Wish You Were Here,line1,Im,III,III,Im,IV,IV,III,III,line2,IV,V,IIm,I,V,IV,IIm,I,intro,Em,line1,verse,G,line2,line2,chorus ,G,line2,solo,Em,line1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only your soul ,line1,Vlm,Vlm,line2,Vlm,Vlm,IIm,IIm,IIm,IIm,line3,Vlm,Vlm,VIm,Vlm,Vlm,IIm,IIm,IIm,IIm,line4,I,I,I,line5,I,V,V,V,V,VIm,Vlm,Vlm,intro,C,line1,verse,C,line2,line3,pre-chorus,C,line4,chorus,C,line5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
